Date,Bengaluru,Delhi,Hyderabad,Jaipur,Thiruvananthapuram
20-11-2019,48.76,295.47,153.06,108.09,43.29
21-11-2019,78.55,363.77,137.03,112.33,39.84
22-11-2019,78.49,332.6,143.27,136.99,35.35
23-11-2019,68.13,224.14,146.29,183.61,53.49
24-11-2019,71.69,178.21,147.9,154.12,49.09
25-11-2019,69.94,213.67,152.32,137.38,42.3
26-11-2019,72.66,225.78,147.41,106.04,47.81
27-11-2019,65.25,128.1,141.73,115.98,65.38
28-11-2019,53.29,58.6,141.9,173.58,40.69
29-11-2019,61.34,100.29,117.76,114.1,49.72
30-11-2019,50.92,159.36,129.5,113.4,25.41
01-12-2019,42.5,192.47,115.41,113.24,13.3
02-12-2019,34.67,229.08,78.45,103.89,31.62
03-12-2019,55.3,241.56,80.56,133,51.14
04-12-2019,69.48,277.92,134.99,127.29,52.39
05-12-2019,91.85,416.79,152.49,110.43,58.52
06-12-2019,96.47,362.1,164.16,154.65,58
07-12-2019,71.64,348.44,152.67,170.28,64.6
08-12-2019,52.13,355.16,126.99,129.83,39.35
09-12-2019,56.84,311.58,111.21,143.97,44.54
10-12-2019,55.42,363.3,116.77,170.32,57.7
11-12-2019,63.74,452.65,122.45,159.87,59.92
12-12-2019,67.98,412.59,109.27,133.17,49.24
13-12-2019,71.83,124.26,69.75,110.13,61.92
14-12-2019,60.07,128.36,83.56,67.13,42.06
15-12-2019,66.09,151.57,78.64,88.25,46.41
16-12-2019,59.81,133.11,100.38,85.13,63.77
17-12-2019,61.09,140.23,129.71,96.44,51.31
18-12-2019,84.86,214.88,146.93,145.26,66.25
19-12-2019,77.48,385.13,147.41,114.33,48.09
20-12-2019,91.61,449.06,152.23,132.48,57.02
21-12-2019,89.87,353.94,156.27,124.14,52.52
22-12-2019,84.08,202.05,141.72,74.88,63.31
23-12-2019,89.98,240.19,132.56,102.75,68.62
24-12-2019,77.13,401.03,109.07,107.85,80.62
25-12-2019,71.87,258.28,123.2,110.92,58.38
26-12-2019,87.08,299.85,114.8,137,38.64
27-12-2019,87.09,371.45,119.06,151.74,49.14
28-12-2019,70.75,426.12,141.13,164.04,62.85
29-12-2019,73.77,500.15,149.05,156.69,72.67
30-12-2019,77.49,486.35,127.34,183.66,73.72
31-12-2019,84.76,338.18,82.17,168.36,68.57
01-01-2020,70.8,483.87,69.42,153.05,65.09
02-01-2020,62.73,439.31,56,96.26,60.26
03-01-2020,69.62,337.04,57.88,119.11,65.79
04-01-2020,106.81,327.22,106.32,120.23,55.05
05-01-2020,97.94,257.94,113.98,143.95,43.67
06-01-2020,62.08,247.47,101.12,127.91,74.23
07-01-2020,62.95,176.22,89.73,103.39,59.51
08-01-2020,74.18,145.85,74.46,116.72,37.56
09-01-2020,85.93,132.06,88.34,64.83,57.01
10-01-2020,83.02,203.54,129.65,88.47,65.95
11-01-2020,66.98,245.62,141.86,116.17,55.43
12-01-2020,75.34,325.36,137.74,119.43,50.54
13-01-2020,97.81,329.77,135.4,124.35,72
14-01-2020,108.24,163.67,139.44,96.06,85.45
15-01-2020,79.82,179.08,86.93,92.31,90.09
16-01-2020,84.68,197.9,65.41,94.23,74.82
17-01-2020,85.16,152.98,63.66,108.73,69.87
18-01-2020,65.04,198.24,74.36,101.53,59.79
19-01-2020,59.29,187.93,71.2,119.35,56.6
20-01-2020,82.12,225.67,83.38,137.1,58.42
21-01-2020,84.98,348.45,89.76,93.14,52.01
22-01-2020,71.37,296.98,85.47,107.22,55.34
23-01-2020,76.02,137.61,115.76,82.95,53.17
24-01-2020,84.68,151.81,128.53,94.73,60.35
25-01-2020,95.52,240.57,141.41,120.92,65.88
26-01-2020,93.93,309.09,138.48,152.56,55.09
27-01-2020,92.25,330.91,119.51,89.61,59.45
28-01-2020,98.54,149.12,105.71,102.11,80.21
